epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,570.247,0.84557,0.56032,0.94158,0.9074,0.92484,0.94187,0.63949,1.22666,0.78406,0.9937,0.000177651,0.000177651,0.000177651
75,577.339,0.82295,0.56623,0.96003,0.911,0.9219,0.94002,0.66306,1.17776,0.7819,0.98129,0.000166149,0.000166149,0.000166149
76,584.745,0.81148,0.57932,0.95143,0.87797,0.92484,0.93832,0.66071,1.16218,0.77976,0.9843,0.000154982,0.000154982,0.000154982
77,591.695,0.81221,0.5702,0.93522,0.89197,0.90779,0.9382,0.66396,1.14733,0.78466,0.98534,0.000144161,0.000144161,0.000144161
78,600.827,0.75915,0.53712,0.95028,0.95688,0.85784,0.93359,0.66125,1.16382,0.81519,0.98838,0.000133695,0.000133695,0.000133695
79,607.613,0.82644,0.54343,0.94086,0.96064,0.86557,0.93436,0.65075,1.17654,0.80121,0.99046,0.000123596,0.000123596,0.000123596
80,614.593,0.79424,0.5448,0.95734,0.96031,0.86868,0.93225,0.6532,1.17236,0.80659,0.99123,0.000113873,0.000113873,0.000113873
81,621.612,0.7456,0.51048,0.92627,0.93081,0.87883,0.93434,0.64998,1.17068,0.79987,0.99235,0.000104537,0.000104537,0.000104537
82,629.958,0.80773,0.55712,0.9569,0.91694,0.88313,0.93592,0.64253,1.16875,0.78844,0.99284,9.55951e-05,9.55951e-05,9.55951e-05
83,637.569,0.7733,0.52334,0.93322,0.87855,0.89999,0.93106,0.62968,1.1822,0.81275,0.99157,8.70577e-05,8.70577e-05,8.70577e-05
84,644.466,0.80222,0.54584,0.95538,0.87287,0.90065,0.9272,0.63893,1.19866,0.81808,0.99403,7.89327e-05,7.89327e-05,7.89327e-05
85,651.68,0.80833,0.54603,0.94882,0.8644,0.91662,0.92661,0.63598,1.20024,0.82234,0.99255,7.12282e-05,7.12282e-05,7.12282e-05
86,658.482,0.69963,0.44639,0.90853,0.86085,0.92105,0.92419,0.63529,1.18365,0.80566,0.99479,6.39518e-05,6.39518e-05,6.39518e-05
87,665.837,0.67917,0.44247,0.88118,0.86407,0.92262,0.92472,0.63093,1.17705,0.7972,0.99507,5.71106e-05,5.71106e-05,5.71106e-05
88,672.586,0.67523,0.44247,0.89584,0.85861,0.92484,0.92436,0.64094,1.18243,0.80127,0.99785,5.07115e-05,5.07115e-05,5.07115e-05
89,679.233,0.72844,0.45023,0.90553,0.85944,0.89859,0.92431,0.63261,1.19485,0.78748,1.00033,4.47606e-05,4.47606e-05,4.47606e-05
90,686.118,0.67986,0.4438,0.88853,0.89165,0.91514,0.92748,0.62536,1.20522,0.79445,1.0017,3.9264e-05,3.9264e-05,3.9264e-05
91,692.95,0.68452,0.43924,0.90232,0.88999,0.91585,0.93201,0.63057,1.18909,0.78092,0.99535,3.4227e-05,3.4227e-05,3.4227e-05
92,700.34,0.69285,0.44598,0.89728,0.89816,0.90919,0.9328,0.63662,1.17304,0.78594,0.98914,2.96546e-05,2.96546e-05,2.96546e-05
93,706.979,0.67261,0.44601,0.89166,0.94397,0.89462,0.93794,0.64731,1.15588,0.78724,0.9867,2.55513e-05,2.55513e-05,2.55513e-05
94,714.387,0.68371,0.43294,0.89862,0.94396,0.89965,0.93757,0.65468,1.13047,0.78179,0.98258,2.19212e-05,2.19212e-05,2.19212e-05
95,721.093,0.65727,0.44145,0.87859,0.94391,0.89684,0.93767,0.65971,1.1262,0.77555,0.98054,1.87678e-05,1.87678e-05,1.87678e-05
96,728.559,0.6677,0.44143,0.87998,0.8996,0.91903,0.93687,0.65721,1.1272,0.77278,0.98146,1.60943e-05,1.60943e-05,1.60943e-05
97,735.271,0.67796,0.43383,0.88972,0.93434,0.90153,0.94098,0.65775,1.12759,0.77765,0.98163,1.39032e-05,1.39032e-05,1.39032e-05
,,,,,0.842040722,0.788847938,0.834491134,,,,,,,
